,seqname,gene_name,start,end,strand,gene_id
446,chr1,OR4F16,685716,686654,-,ENSG00000284662.2
453,chr1,CICP3,722092,724903,+,ENSG00000229376.3
457,chr1,ENSG00000228327,725885,778688,-,ENSG00000228327.5
483,chr1,RNU6-1199P,758233,758336,-,ENSG00000223181.1
486,chr1,ENSG00000229905,760911,761989,+,ENSG00000229905.1
490,chr1,LINC01409,778747,810065,+,ENSG00000237491.10
634,chr1,ENSG00000285268,781937,782050,+,ENSG00000285268.1
637,chr1,ENSG00000230092,800879,817712,-,ENSG00000230092.7
648,chr1,FAM87B,817371,819837,+,ENSG00000177757.2
652,chr1,LINC00115,824228,827539,-,ENSG00000225880.6
655,chr1,LINC01128,825138,859446,+,ENSG00000228794.12
922,chr1,ENSG00000288531,860226,868202,+,ENSG00000288531.1
930,chr1,FAM41C,868071,876903,-,ENSG00000230368.2
944,chr1,TUBB8P11,873292,874349,+,ENSG00000234711.1
947,chr1,ENSG00000283040,874529,877234,-,ENSG00000283040.1
954,chr1,ENSG00000272438,904834,915976,+,ENSG00000272438.1
958,chr1,ENSG00000230699,911435,914948,+,ENSG00000230699.2
962,chr1,ENSG00000241180,914171,914971,+,ENSG00000241180.1
966,chr1,LINC02593,916865,921016,-,ENSG00000223764.2
977,chr1,SAMD11,923923,944575,+,ENSG00000187634.13
1282,chr1,NOC2L,944203,959309,-,ENSG00000188976.11
1364,chr1,KLHL17,960584,965719,+,ENSG00000187961.15
1415,chr1,PLEKHN1,966482,975865,+,ENSG00000187583.11
1540,chr1,PERM1,975198,982117,-,ENSG00000187642.10
1585,chr1,ENSG00000272512,995966,998051,-,ENSG00000272512.1
1588,chr1,HES4,998962,1000172,-,ENSG00000188290.11
1627,chr1,ISG15,1001138,1014540,+,ENSG00000187608.10
1657,chr1,ENSG00000231702,1008076,1008229,-,ENSG00000231702.2
1660,chr1,ENSG00000224969,1011997,1013193,-,ENSG00000224969.1
1664,chr1,AGRN,1020120,1056118,+,ENSG00000188157.15
2004,chr1,ENSG00000242590,1055033,1056116,+,ENSG00000242590.1
2008,chr1,ENSG00000217801,1059687,1069355,+,ENSG00000217801.12
2063,chr1,ENSG00000273443,1062208,1063288,-,ENSG00000273443.1
2067,chr1,RNF223,1070967,1074306,-,ENSG00000237330.3
2077,chr1,C1orf159,1081818,1116361,-,ENSG00000131591.18
2396,chr1,ENSG00000285812,1097585,1104598,+,ENSG00000285812.1
2400,chr1,LINC01342,1137017,1144056,+,ENSG00000223823.1
2405,chr1,MIR200B,1167104,1167198,+,ENSG00000207730.3
2408,chr1,MIR200A,1167863,1167952,+,ENSG00000207607.3
2411,chr1,MIR429,1169005,1169087,+,ENSG00000198976.1
2414,chr1,ENSG00000272141,1169357,1170343,+,ENSG00000272141.1
2417,chr1,TTLL10-AS1,1173056,1179555,-,ENSG00000205231.1
2421,chr1,TTLL10,1173880,1197936,+,ENSG00000162571.14
2559,chr1,TNFRSF18,1203508,1206592,-,ENSG00000186891.14
2614,chr1,TNFRSF4,1211326,1214153,-,ENSG00000186827.12
2820,chr1,SDF4,1216931,1232031,-,ENSG00000078808.20
2900,chr1,B3GALT6,1232237,1235041,+,ENSG00000176022.7
2908,chr1,C1QTNF12,1242446,1246722,-,ENSG00000184163.3
2944,chr1,ENSG00000260179,1249777,1251334,-,ENSG00000260179.1
2947,chr1,UBE2J2,1253909,1273864,-,ENSG00000160087.21
3222,chr1,LINC01786,1275223,1280420,+,ENSG00000230415.1
3230,chr1,SCNN1D,1280436,1292029,+,ENSG00000162572.21
3449,chr1,ACAP3,1292390,1309609,-,ENSG00000131584.19
3651,chr1,MIR6726,1296110,1296170,-,ENSG00000278073.1
3654,chr1,PUSL1,1308597,1311677,+,ENSG00000169972.12
3706,chr1,INTS11,1311585,1324687,-,ENSG00000127054.22
4506,chr1,MIR6727,1312502,1312566,-,ENSG00000283712.1
4509,chr1,ENSG00000240731,1317581,1318689,-,ENSG00000240731.1
4513,chr1,CPTP,1324756,1328896,+,ENSG00000224051.7
4537,chr1,TAS1R3,1331280,1335314,+,ENSG00000169962.5
4555,chr1,DVL1,1335276,1349418,-,ENSG00000107404.21
4675,chr1,MIR6808,1339650,1339708,-,ENSG00000284372.1
4678,chr1,MXRA8,1352689,1361777,-,ENSG00000162576.17
4803,chr1,AURKAIP1,1373730,1375207,-,ENSG00000175756.14
4860,chr1,NDUFB4P8,1378666,1379032,+,ENSG00000223663.2
4863,chr1,CCNL2,1385711,1399335,-,ENSG00000221978.13
5098,chr1,MRPL20-AS1,1399515,1402046,+,ENSG00000224870.9
5147,chr1,MRPL20,1401909,1407293,-,ENSG00000242485.6
5193,chr1,RN7SL657P,1405460,1405752,-,ENSG00000264293.2
5196,chr1,MRPL20-DT,1409096,1410618,+,ENSG00000272455.1
5199,chr1,ANKRD65,1418420,1421769,-,ENSG00000235098.9
5252,chr1,ANKRD65-AS1,1420245,1422691,+,ENSG00000225905.1
5256,chr1,TMEM88B,1425871,1430255,+,ENSG00000205116.4
5266,chr1,LINC01770,1430539,1434573,-,ENSG00000225285.1
5279,chr1,VWA1,1434861,1442882,+,ENSG00000179403.12
5316,chr1,ATAD3C,1449689,1470163,+,ENSG00000215915.10
5364,chr1,ATAD3B,1471765,1497848,+,ENSG00000160072.20
5471,chr1,ENSG00000284740,1503250,1509466,+,ENSG00000284740.2
5481,chr1,ATAD3A,1512162,1534685,+,ENSG00000197785.14
5673,chr1,TMEM240,1534778,1540624,-,ENSG00000205090.9
5711,chr1,SSU72,1541673,1574863,-,ENSG00000160075.12
5744,chr1,ENSG00000215014,1574102,1577075,+,ENSG00000215014.5
5750,chr1,ENSG00000274481,1583510,1583909,-,ENSG00000274481.1
5753,chr1,FNDC10,1598012,1600135,-,ENSG00000228594.4
5761,chr1,ENSG00000286989,1600314,1602703,+,ENSG00000286989.1
5766,chr1,ENSG00000272106,1613758,1615795,-,ENSG00000272106.1
5769,chr1,MIB2,1615454,1630605,+,ENSG00000197530.13
6418,chr1,MMP23B,1632163,1635263,+,ENSG00000189409.14
6541,chr1,CDK11B,1635225,1659012,-,ENSG00000248333.9
6918,chr1,ENSG00000272004,1659325,1662602,+,ENSG00000272004.1
6922,chr1,SLC35E2B,1659529,1692795,-,ENSG00000189339.12
7000,chr1,ENSG00000269737,1671990,1674397,+,ENSG00000269737.2
7006,chr1,MMP23A,1699942,1701782,+,ENSG00000215914.4
7015,chr1,CDK11A,1702379,1724357,-,ENSG00000008128.23
7463,chr1,ENSG00000268575,1702736,1737688,-,ENSG00000268575.1
7485,chr1,ENSG00000227775,1724512,1737251,+,ENSG00000227775.3
7498,chr1,SLC35E2A,1724838,1745992,-,ENSG00000215790.8
7523,chr1,NADK,1751232,1780457,-,ENSG00000008130.15
7743,chr1,GNB1,1785285,1891117,-,ENSG00000078369.18
7898,chr1,GNB1-DT,1891223,1892726,+,ENSG00000231050.3
7914,chr1,CALML6,1915108,1917296,+,ENSG00000169885.10
7955,chr1,TMEM52,1917590,1919279,-,ENSG00000178821.13
8016,chr1,CFAP74,1921951,2003837,-,ENSG00000142609.20
8273,chr1,ENSG00000233542,2013213,2015639,-,ENSG00000233542.2
8281,chr1,GABRD,2019329,2030758,+,ENSG00000187730.9
8527,chr1,PRKCZ-DT,2049203,2050070,-,ENSG00000226969.1
8535,chr1,PRKCZ,2050411,2185395,+,ENSG00000067606.17
8940,chr1,ENSG00000271806,2141084,2145279,-,ENSG00000271806.1
8943,chr1,PRKCZ-AS1,2181794,2184389,-,ENSG00000182873.5
8951,chr1,FAAP20,2184461,2212720,-,ENSG00000162585.17
9097,chr1,ENSG00000234396,2212523,2220738,+,ENSG00000234396.3
9101,chr1,SKI,2228319,2310213,+,ENSG00000157933.10
9131,chr1,ENSG00000287356,2315040,2323085,+,ENSG00000287356.1
9141,chr1,MORN1,2321253,2391707,-,ENSG00000116151.14
9275,chr1,ENSG00000272161,2326201,2326693,-,ENSG00000272161.1
9278,chr1,ENSG00000269896,2350414,2352820,-,ENSG00000269896.2
9283,chr1,ENSG00000272420,2363061,2363628,-,ENSG00000272420.1
9286,chr1,RER1,2391775,2405442,+,ENSG00000157916.20
9414,chr1,PEX10,2403964,2413797,-,ENSG00000157911.11
9534,chr1,PLCH2,2425980,2505532,+,ENSG00000149527.18
9766,chr1,ENSG00000224387,2492300,2493258,-,ENSG00000224387.1
9770,chr1,ENSG00000229393,2493437,2494479,-,ENSG00000229393.1
9774,chr1,PANK4,2508537,2526597,-,ENSG00000157881.16
9974,chr1,HES5,2528745,2530263,-,ENSG00000197921.6
9986,chr1,ENSG00000272449,2530064,2547471,+,ENSG00000272449.3
9992,chr1,TNFRSF14-AS1,2549920,2557031,-,ENSG00000238164.6
10018,chr1,TNFRSF14,2555639,2565382,+,ENSG00000157873.18
10184,chr1,ENSG00000225931,2566410,2569888,+,ENSG00000225931.3
10189,chr1,ENSG00000228037,2581560,2584533,+,ENSG00000228037.1
10194,chr1,ENSG00000289610,2585610,2586060,+,ENSG00000289610.2
10197,chr1,PRXL2B,2586491,2591469,+,ENSG00000157870.17
10381,chr1,MMEL1,2590639,2633016,-,ENSG00000142606.16
10557,chr1,MMEL1-AS1,2632568,2636620,+,ENSG00000237058.1
10561,chr1,TTC34,2636986,2801693,-,ENSG00000215912.13
10604,chr1,ENSG00000285945,2768091,2784733,+,ENSG00000285945.1
10609,chr1,ENSG00000283259,2773603,2776473,+,ENSG00000283259.1
10621,chr1,ENSG00000233234,2811850,2812692,-,ENSG00000233234.1
10625,chr1,ENSG00000287396,2814056,2817767,+,ENSG00000287396.1
10629,chr1,ENSG00000231630,2814432,2814998,-,ENSG00000231630.1
10633,chr1,ENSG00000284745,2960658,2968707,-,ENSG00000284745.1
10642,chr1,ACTRT2,3021467,3022903,+,ENSG00000169717.7
10650,chr1,PRDM16-DT,3059611,3069091,-,ENSG00000177133.14
10699,chr1,PRDM16,3069168,3438621,+,ENSG00000142611.17
10919,chr1,MIR4251,3127975,3128035,+,ENSG00000283572.1
10922,chr1,ENSG00000226286,3132927,3133709,-,ENSG00000226286.1
10926,chr1,ENSG00000279839,3205988,3208664,+,ENSG00000279839.1
10929,chr1,ENSG00000272235,3306636,3310096,-,ENSG00000272235.1
10932,chr1,ENSG00000287828,3313052,3323149,-,ENSG00000287828.1
10936,chr1,ENSG00000286518,3367815,3373928,-,ENSG00000286518.1
10940,chr1,ARHGEF16,3454665,3481113,+,ENSG00000130762.15
11073,chr1,ENSG00000272088,3487246,3487627,+,ENSG00000272088.1
11076,chr1,MEGF6,3487951,3611508,-,ENSG00000162591.17
11402,chr1,MIR551A,3560695,3560790,-,ENSG00000207776.1
11405,chr1,ENSG00000238260,3622857,3624786,-,ENSG00000238260.3
11427,chr1,TPRG1L,3625015,3630127,+,ENSG00000158109.15
11456,chr1,WRAP73,3630767,3652761,-,ENSG00000116213.16
11587,chr1,TP73,3652516,3736201,+,ENSG00000078900.15
11920,chr1,TP73-AS3,3658938,3668772,-,ENSG00000227589.1
11925,chr1,TP73-AS2,3712200,3714298,-,ENSG00000235131.1
11929,chr1,TP73-AS1,3735511,3747373,-,ENSG00000227372.12
12101,chr1,ENSG00000276189,3736943,3737103,+,ENSG00000276189.1
12104,chr1,CCDC27,3746460,3771645,+,ENSG00000162592.10
12170,chr1,SMIM1,3772749,3775982,+,ENSG00000235169.11
12215,chr1,LRRC47,3778559,3796498,-,ENSG00000130764.10
12253,chr1,RN7SL574P,3782815,3783111,+,ENSG00000266075.2
12256,chr1,ENSG00000272153,3785008,3785538,+,ENSG00000272153.1
12259,chr1,CEP104,3812086,3857396,-,ENSG00000116198.14
13137,chr1,DFFB,3857267,3885429,+,ENSG00000169598.17
13319,chr1,C1orf174,3889125,3900293,-,ENSG00000198912.12
13442,chr1,LINC01134,3900347,3917225,+,ENSG00000236423.8
13465,chr1,LINC01346,3940486,3955262,+,ENSG00000233304.7
13481,chr1,LINC01345,3944547,3949024,-,ENSG00000226374.3
13501,chr1,LINC02780,3976133,4012704,+,ENSG00000284668.2
13518,chr1,ENSG00000284703,4012921,4019508,-,ENSG00000284703.1
13522,chr1,EEF1DP6,4175528,4175899,-,ENSG00000229280.1
13525,chr1,LINC01777,4412027,4424689,+,ENSG00000235054.4
13601,chr1,ENSG00000284694,4479131,4484375,-,ENSG00000284694.1
13605,chr1,ENSG00000227169,4551735,4552145,-,ENSG00000227169.2
13609,chr1,LINC01646,4571481,4594016,+,ENSG00000232596.3
13645,chr1,AJAP1,4654609,4792534,+,ENSG00000196581.11
13683,chr1,ENSG00000287586,4730211,4734992,-,ENSG00000287586.1
13690,chr1,ENSG00000284739,4963954,4973298,-,ENSG00000284739.1
13695,chr1,LINC02781,4973381,4981568,+,ENSG00000284674.1
13702,chr1,LINC02782,5086459,5090899,-,ENSG00000231510.1
13708,chr1,ENSG00000284616,5301928,5307394,-,ENSG00000284616.1
13714,chr1,ENSG00000284692,5478736,5493057,-,ENSG00000284692.2
13728,chr1,ENSG00000284666,5480787,5482028,-,ENSG00000284666.1
13732,chr1,ENSG00000260972,5492978,5494674,+,ENSG00000260972.1
13735,chr1,ENSG00000283356,5554747,5554881,+,ENSG00000283356.1
13738,chr1,ENSG00000236948,5561709,5668295,-,ENSG00000236948.2
13746,chr1,ENSG00000264341,5564071,5564143,+,ENSG00000264341.1
13749,chr1,ENSG00000289893,5733358,5771453,-,ENSG00000289893.1
13755,chr1,MIR4689,5862672,5862741,-,ENSG00000264101.1
13758,chr1,NPHP4,5862811,5992473,-,ENSG00000131697.18
14059,chr1,KCNAB2,5990927,6101193,+,ENSG00000069424.16
15055,chr1,CHD5,6101787,6180321,-,ENSG00000116254.18
15351,chr1,ENSG00000285629,6159430,6197757,-,ENSG00000285629.1
15367,chr1,RPL22,6185020,6209389,-,ENSG00000116251.11
15446,chr1,RNF207-AS1,6204840,6205780,-,ENSG00000226944.1
15451,chr1,RNF207,6205475,6221299,+,ENSG00000158286.13
15536,chr1,ICMT,6221193,6235972,-,ENSG00000116237.16
15586,chr1,ICMT-DT,6234692,6239444,+,ENSG00000225077.3
15601,chr1,HES3,6244179,6245578,+,ENSG00000173673.8
15615,chr1,GPR153,6247353,6261098,-,ENSG00000158292.7
15633,chr1,ACOT7,6264269,6393767,-,ENSG00000097021.20
15845,chr1,ENSG00000271746,6393555,6394391,+,ENSG00000271746.1
15848,chr1,HES2,6412418,6424670,-,ENSG00000069812.11
15911,chr1,ESPN,6424776,6461367,+,ENSG00000187017.18
16118,chr1,MIR4252,6429834,6429896,-,ENSG00000265392.1
16121,chr1,ENSG00000231868,6443034,6447006,-,ENSG00000231868.1
16126,chr1,TNFRSF25,6460786,6466175,-,ENSG00000215788.11
16440,chr1,PLEKHG5,6467122,6520074,-,ENSG00000171680.23
17283,chr1,NOL9,6521347,6554513,-,ENSG00000162408.11
17328,chr1,RNU6-731P,6540854,6540964,+,ENSG00000253022.1
17331,chr1,ENSG00000229519,6547905,6548619,+,ENSG00000229519.2
17335,chr1,TAS1R1,6555307,6579755,+,ENSG00000173662.21
17386,chr1,ZBTB48,6579994,6589280,+,ENSG00000204859.13
17479,chr1,KLHL21,6590724,6614607,-,ENSG00000162413.17
17540,chr1,PHF13,6613731,6624030,+,ENSG00000116273.6
17557,chr1,THAP3,6624868,6635586,+,ENSG00000041988.16
17642,chr1,DNAJC11,6634168,6701924,-,ENSG00000007923.17
18020,chr1,LINC01672,6724637,6730012,+,ENSG00000228750.7
18041,chr1,ENSG00000284744,6767954,6770038,+,ENSG00000284744.1
18046,chr1,CAMTA1-DT,6783892,6784843,-,ENSG00000237436.1
18051,chr1,CAMTA1,6785454,7769706,+,ENSG00000171735.20
18801,chr1,ENSG00000227950,6834333,6834618,-,ENSG00000227950.1
18804,chr1,ENSG00000237365,7008376,7014279,-,ENSG00000237365.1
18808,chr1,RNU1-8P,7219360,7219524,+,ENSG00000207056.1
18811,chr1,CAMTA1-IT1,7368942,7370270,+,ENSG00000237402.1
18815,chr1,CAMTA1-AS2,7382487,7389754,-,ENSG00000237728.2
18823,chr1,CAMTA1-AS1,7441096,7441554,-,ENSG00000225126.1
18827,chr1,ENSG00000270171,7693124,7694844,-,ENSG00000270171.1
18830,chr1,ENSG00000270035,7698303,7698872,-,ENSG00000270035.1
18833,chr1,ENSG00000269978,7700704,7700970,-,ENSG00000269978.1
18836,chr1,VAMP3,7771296,7781432,+,ENSG00000049245.13
18871,chr1,ENSG00000269925,7776383,7776775,+,ENSG00000269925.1
18874,chr1,PER3,7784291,7845177,+,ENSG00000049246.15
19110,chr1,ENSG00000236266,7810242,7827342,-,ENSG00000236266.1
19115,chr1,UTS2,7843083,7853512,-,ENSG00000049247.14
19162,chr1,TNFRSF9,7915871,7943165,-,ENSG00000049249.10
19219,chr1,ENSG00000270330,7942372,7942726,+,ENSG00000270330.1
19222,chr1,PARK7,7954291,7985505,+,ENSG00000116288.13
19365,chr1,Y_RNA,7982881,7982983,-,ENSG00000200344.1
19368,chr1,ENSG00000284747,7991134,8005312,+,ENSG00000284747.1
19379,chr1,ENSG00000284716,7998187,7999934,-,ENSG00000284716.1
19383,chr1,ERRFI1,8004404,8026309,-,ENSG00000116285.13
19441,chr1,ERRFI1-DT,8026738,8122702,+,ENSG00000238290.1
19446,chr1,RPL7AP18,8057245,8058463,-,ENSG00000232848.1
19450,chr1,ENSG00000229305,8189824,8192770,+,ENSG00000229305.1
19456,chr1,ENSG00000288816,8191692,8194926,+,ENSG00000288816.1
19460,chr1,LINC01714,8201518,8215210,+,ENSG00000227634.3
19477,chr1,RNU1-7P,8206434,8206597,-,ENSG00000200975.1
19480,chr1,ENSG00000233645,8218190,8220529,-,ENSG00000233645.1
19484,chr1,RNU6-991P,8292157,8292263,-,ENSG00000251977.1
19487,chr1,SLC45A1,8318114,8344167,+,ENSG00000162426.16
19541,chr1,Y_RNA,8328067,8328179,+,ENSG00000252254.1
19544,chr1,RERE,8352397,8848921,-,ENSG00000142599.19
19921,chr1,RERE-AS1,8424645,8435013,+,ENSG00000232912.6
19936,chr1,ENSG00000221083,8511795,8511919,-,ENSG00000221083.1
19939,chr1,ENSG00000270282,8512653,8513021,+,ENSG00000270282.1
19942,chr1,RPL7P11,8750430,8751087,+,ENSG00000234619.1
19945,chr1,RPL7P7,8786211,8786913,-,ENSG00000224315.2
19948,chr1,Y_RNA,8796571,8796673,-,ENSG00000222511.2
19951,chr1,ENSG00000226545,8798475,8799506,+,ENSG00000226545.1
19955,chr1,ENSG00000228423,8805860,8807051,-,ENSG00000228423.2
19959,chr1,RPL23AP19,8831007,8831375,+,ENSG00000229716.2
19962,chr1,ENO1,8861000,8879190,-,ENSG00000074800.16
20203,chr1,MIR6728,8866502,8866590,-,ENSG00000274258.1
20206,chr1,ENO1-AS1,8878835,8879894,+,ENSG00000230679.1
20210,chr1,RNU6-304P,8883427,8883533,-,ENSG00000201725.1
20213,chr1,HMGN2P17,8893409,8894151,+,ENSG00000238249.2
20216,chr1,ENSG00000232208,8907393,8907744,-,ENSG00000232208.2
20219,chr1,ENSG00000232663,8909742,8909904,+,ENSG00000232663.2
20222,chr1,CA6,8945867,8975092,+,ENSG00000131686.15
20315,chr1,ENSG00000290109,8970490,8971244,-,ENSG00000290109.1
20318,chr1,RN7SL451P,8979576,8979874,-,ENSG00000265141.2
20321,chr1,SLC2A7,9002973,9026423,-,ENSG00000197241.4
20351,chr1,SLC2A5,9035106,9088478,-,ENSG00000142583.18
20507,chr1,ENSG00000252404,9082696,9082879,+,ENSG00000252404.1
20510,chr1,GPR157,9100305,9129102,-,ENSG00000180758.12
20532,chr1,MIR34AHG,9148011,9198906,-,ENSG00000228526.8
20546,chr1,MIR34A,9151668,9151777,-,ENSG00000284357.1
20549,chr1,ENSG00000289914,9162322,9162945,-,ENSG00000289914.1
20552,chr1,LNCTAM34A,9182004,9196284,+,ENSG00000234546.5
20578,chr1,H6PD,9234774,9271337,+,ENSG00000049239.13
20612,chr1,SPSB1,9292894,9369532,+,ENSG00000171621.14
20651,chr1,ENSG00000284652,9421098,9422862,-,ENSG00000284652.1
20654,chr1,LINC02606,9425094,9440564,-,ENSG00000284693.2
20666,chr1,RNA5SP40,9437669,9437778,-,ENSG00000252956.1
20669,chr1,ENSG00000235263,9501092,9503471,-,ENSG00000235263.1
20673,chr1,SLC25A33,9539465,9585173,+,ENSG00000171612.7
20693,chr1,ENSG00000231181,9576427,9576985,+,ENSG00000231181.1
20696,chr1,TMEM201,9588911,9614877,+,ENSG00000188807.13
20778,chr1,PIK3CD,9629889,9729114,+,ENSG00000171608.18
21385,chr1,PIK3CD-AS1,9652610,9654586,-,ENSG00000179840.5
21389,chr1,ENSG00000233268,9660828,9662626,-,ENSG00000233268.3
21393,chr1,PIK3CD-AS2,9672405,9687583,-,ENSG00000231789.4
21398,chr1,CLSTN1,9728926,9823984,-,ENSG00000171603.18
21563,chr1,MZT1P1,9780822,9781240,+,ENSG00000271264.1
21567,chr1,ENSG00000280113,9826289,9828271,-,ENSG00000280113.2
21572,chr1,CTNNBIP1,9848276,9910336,-,ENSG00000178585.15
21635,chr1,ENSG00000223989,9848318,9850154,+,ENSG00000223989.1
21640,chr1,ENSG00000285701,9900614,9908034,+,ENSG00000285701.1
21645,chr1,LZIC,9922113,9943407,-,ENSG00000162441.12
21723,chr1,ENSG00000228150,9942923,9949974,+,ENSG00000228150.1
21727,chr1,NMNAT1,9943428,9985501,+,ENSG00000173614.14
21785,chr1,RN7SKP269,9947318,9947636,+,ENSG00000202415.1
21788,chr1,TMEM274P,9950572,9960787,-,ENSG00000283611.2
21795,chr1,MIR5697,9967381,9967458,+,ENSG00000265521.1
21798,chr1,ENSG00000241326,9983141,9984568,+,ENSG00000241326.1
21802,chr1,RBP7,9997206,10016021,+,ENSG00000162444.12
21831,chr1,UBE4B,10032832,10181239,+,ENSG00000130939.20
22075,chr1,ENSG00000224340,10054445,10054781,-,ENSG00000224340.1
22078,chr1,PGAM1P11,10058671,10059648,+,ENSG00000233623.2
22082,chr1,RNU6-828P,10163268,10163374,+,ENSG00000201746.1
22085,chr1,KIF1B,10210570,10381603,+,ENSG00000054523.20
23243,chr1,ENSG00000264881,10227718,10227803,+,ENSG00000264881.1
23246,chr1,RNU6-37P,10298966,10299072,+,ENSG00000199562.1
23249,chr1,RN7SL731P,10306465,10306757,+,ENSG00000264501.2
23252,chr1,ENSG00000284735,10381906,10387150,-,ENSG00000284735.1
23262,chr1,ENSG00000284642,10395416,10397432,+,ENSG00000284642.1
23275,chr1,PGD,10398592,10420511,+,ENSG00000142657.21
23396,chr1,ENSG00000271989,10429881,10430677,-,ENSG00000271989.1
23399,chr1,CENPS-CORT,10430102,10452153,+,ENSG00000251503.8
23469,chr1,CENPS,10430433,10442808,+,ENSG00000175279.22
23518,chr1,CORT,10450031,10451998,+,ENSG00000241563.4
23528,chr1,DFFA,10456522,10472529,-,ENSG00000160049.12
23576,chr1,ENSG00000203469,10458555,10459338,+,ENSG00000203469.2
23580,chr1,PEX14,10472288,10630758,+,ENSG00000142655.13
23627,chr1,ENSG00000287727,10612222,10616452,-,ENSG00000287727.1
23631,chr1,RN7SL614P,10616836,10617115,+,ENSG00000243267.3
23634,chr1,CASZ1,10636604,10796650,-,ENSG00000130940.15
23754,chr1,ENSG00000272078,10639241,10654333,+,ENSG00000272078.1
23758,chr1,HSPE1P24,10895761,10895998,+,ENSG00000225158.2
23761,chr1,C1orf127,10946471,10982076,-,ENSG00000175262.15
23849,chr1,CFL1P6,10990978,10991797,-,ENSG00000215785.2
23853,chr1,TARDBP,11012344,11030528,+,ENSG00000120948.19
24305,chr1,MASP2,11022009,11047239,-,ENSG00000009724.18
24643,chr1,SRM,11054584,11060020,-,ENSG00000116649.10
24706,chr1,EXOSC10,11066618,11099869,-,ENSG00000171824.14
24872,chr1,ENSG00000226849,11068471,11073097,+,ENSG00000226849.1
24876,chr1,EXOSC10-AS1,11099430,11102105,+,ENSG00000230337.3
24883,chr1,MTOR,11106535,11262556,-,ENSG00000198793.14
25651,chr1,MTOR-AS1,11143898,11149537,+,ENSG00000225602.5
25662,chr1,RNU6-537P,11152350,11152452,+,ENSG00000253086.1
25665,chr1,ANGPTL7,11189355,11195981,+,ENSG00000171819.5
25685,chr1,RNU6-291P,11226254,11226360,+,ENSG00000207451.1
25688,chr1,RPL39P6,11232963,11233112,+,ENSG00000238173.1
25691,chr1,UBIAD1,11273198,11296049,+,ENSG00000120942.14
25732,chr1,UBE2V2P3,11278616,11279351,-,ENSG00000238199.1
25736,chr1,ENSG00000284646,11311734,11319093,-,ENSG00000284646.1
25742,chr1,MTCYBP45,11425257,11425821,-,ENSG00000224338.2
25745,chr1,DISP3,11479155,11537551,+,ENSG00000204624.8
25811,chr1,ENSG00000285833,11500803,11502016,-,ENSG00000285833.1
25815,chr1,LINC01647,11609468,11613358,+,ENSG00000235643.2
25820,chr1,ENSG00000284708,11623558,11643416,+,ENSG00000284708.1
25824,chr1,FBXO2,11637018,11655785,-,ENSG00000116661.11
